Date,Open,High,Low,Close,Adj Close,Volume
4/30/2021,131.779998779,133.559997559,131.070007324,131.460006714,129.371627808,109839500
5/3/2021,132.039993286,134.070007324,131.830001831,132.539993286,130.434463501,75135100
5/4/2021,131.190002441,131.490005493,126.699996948,127.849998474,125.818962097,137564700
5/5/2021,129.199996948,130.449996948,127.970001221,128.100006104,126.065010071,84000900
5/6/2021,127.889999390,129.750000000,127.129997253,129.740005493,127.678962708,78128300
5/7/2021,130.850006104,131.259994507,129.479995728,130.210006714,128.359130859,78973300
5/10/2021,129.410003662,129.539993286,126.809997559,126.849998474,125.046905518,88071200
5/11/2021,123.500000000,126.269996643,122.769996643,125.910003662,124.120262146,126142800
5/12/2021,123.400001526,124.639999390,122.250000000,122.769996643,121.024879456,112172300
5/13/2021,124.580001831,126.150001526,124.260002136,124.970001221,123.193611145,105861300
5/14/2021,126.250000000,127.889999390,125.849998474,127.449996948,125.638343811,81918000
5/17/2021,126.819999695,126.930000305,125.169998169,126.269996643,124.475135803,74244600
5/18/2021,126.559997559,126.989997864,124.779998779,124.849998474,123.075317383,63342900
5/19/2021,123.160003662,124.919998169,122.860000610,124.690002441,122.917602539,92612000
5/20/2021,125.230003357,127.720001221,125.099998474,127.309997559,125.500343323,76857100
5/21/2021,127.819999695,128.000000000,125.209999084,125.430000305,123.647079468,79295400
5/24/2021,126.010002136,127.940002441,125.940002441,127.099998474,125.293334961,63092900
5/25/2021,127.819999695,128.320007324,126.319999695,126.900001526,125.096183777,72009500
5/26/2021,126.959999084,127.389999390,126.419998169,126.849998474,125.046905518,56575900
5/27/2021,126.440002441,127.639999390,125.080001831,125.279998779,123.499214172,94625600
5/28/2021,125.569999695,125.800003052,124.550003052,124.610000610,122.838729858,71311100
6/1/2021,125.080001831,125.349998474,123.940002441,124.279998779,122.513420105,67637100
6/2/2021,124.279998779,125.239997864,124.050003052,125.059997559,123.282325745,59278900
6/3/2021,124.680000305,124.849998474,123.129997253,123.540000916,121.783943176,76229200
6/4/2021,124.069999695,126.160003662,123.849998474,125.889999390,124.100524902,75169300
6/7/2021,126.169998169,126.319999695,124.830001831,125.900001526,124.110389709,71057600
6/8/2021,126.599998474,128.460006714,126.209999084,126.739997864,124.938446045,74403800
6/9/2021,127.209999084,127.750000000,126.519996643,127.129997253,125.322891235,56877900
6/10/2021,127.019996643,128.190002441,125.940002441,126.110000610,124.317405701,71186400
6/11/2021,126.529998779,127.440002441,126.099998474,127.349998474,125.539787292,53522400
6/14/2021,127.819999695,130.539993286,127.069999695,130.479995728,128.625289917,96906500
6/15/2021,129.940002441,130.600006104,129.389999390,129.639999390,127.797233582,62746300
6/16/2021,130.369995117,130.889999390,128.460006714,130.149993896,128.299987793,91815000
6/17/2021,129.800003052,132.550003052,129.649993896,131.789993286,129.916656494,96721700
6/18/2021,130.710006714,131.509994507,130.240005493,130.460006714,128.605606079,108953300
6/21/2021,130.300003052,132.410003662,129.210006714,132.300003052,130.419418335,79663300
6/22/2021,132.130004883,134.080001831,131.619995117,133.979995728,132.075546265,74783600
6/23/2021,133.770004272,134.320007324,133.229995728,133.699996948,131.799514771,60214200
6/24/2021,134.449996948,134.639999390,132.929992676,133.410003662,131.513641357,68711000
6/25/2021,133.460006714,133.889999390,132.809997559,133.110000610,131.217895508,70783700
6/28/2021,133.410003662,135.250000000,133.350006104,134.779998779,132.864151001,62111300
6/29/2021,134.800003052,136.490005493,134.350006104,136.330001831,134.392135620,64556100
6/30/2021,136.169998169,137.410003662,135.869995117,136.960006714,135.013183594,63261400
7/1/2021,136.600006104,137.330001831,135.759994507,137.270004272,135.318786621,52485800
7/2/2021,137.899993896,140.000000000,137.750000000,139.960006714,137.970565796,78852600
7/6/2021,140.070007324,143.149993896,140.070007324,142.020004272,140.001251221,108181800
7/7/2021,143.539993286,144.889999390,142.660003662,144.570007324,142.514999390,104911600
7/8/2021,141.580001831,144.059997559,140.669998169,143.240005493,141.203903198,105575500
7/9/2021,142.750000000,145.649993896,142.649993896,145.110000610,143.047348022,99890800
7/12/2021,146.210006714,146.320007324,144.000000000,144.500000000,142.445968628,76299700
7/13/2021,144.029998779,147.460006714,143.630004883,145.639999390,143.569793701,100827100
7/14/2021,148.100006104,149.570007324,147.679992676,149.149993896,147.029907227,127050800
7/15/2021,149.240005493,150.000000000,147.089996338,148.479995728,146.369415283,106820300
7/16/2021,148.460006714,149.759994507,145.880004883,146.389999390,144.309143066,93251400
7/19/2021,143.750000000,144.070007324,141.669998169,142.449996948,140.425140381,121434600
7/20/2021,143.460006714,147.100006104,142.960006714,146.149993896,144.072555542,96350000
7/21/2021,145.529998779,146.130004883,144.630004883,145.399993896,143.333190918,74993500
7/22/2021,145.940002441,148.199996948,145.809997559,146.800003052,144.713302612,77338200
7/23/2021,147.550003052,148.720001221,146.919998169,148.559997559,146.448287964,71447400
7/26/2021,148.270004272,149.830001831,147.699996948,148.990005493,146.872177124,72434100
7/27/2021,149.119995117,149.210006714,145.550003052,146.770004272,144.683731079,104818600
7/28/2021,144.809997559,146.970001221,142.539993286,144.979995728,142.919174194,118931200
7/29/2021,144.690002441,146.550003052,144.580001831,145.639999390,143.569793701,56699500
7/30/2021,144.380004883,146.330001831,144.110000610,145.860000610,143.786666870,70440600
8/2/2021,146.360000610,146.949996948,145.250000000,145.520004272,143.451507568,62880000
8/3/2021,145.809997559,148.039993286,145.179992676,147.360000610,145.265335083,64786600
8/4/2021,147.270004272,147.789993286,146.279998779,146.949996948,144.861160278,56368300
8/5/2021,146.979995728,147.839996338,146.169998169,147.059997559,144.969604492,46397700
8/6/2021,146.350006104,147.110000610,145.630004883,146.139999390,144.278533936,54126800
8/9/2021,146.199996948,146.699996948,145.520004272,146.089996338,144.229171753,48908700
8/10/2021,146.440002441,147.710006714,145.300003052,145.600006104,143.745437622,69023100
8/11/2021,146.050003052,146.720001221,145.529998779,145.860000610,144.002090454,48493500
8/12/2021,146.190002441,149.050003052,145.839996338,148.889999390,146.993499756,72282600
8/13/2021,148.970001221,149.440002441,148.270004272,149.100006104,147.200866699,59375000
